ShortItemNo    ;Shimanoitem              ;3rd item nr              ;barcode/ean  ;description line 1            ;description line 2                      ;T;  Price;SalesPr;Retail ;CNV;S;Itemgroup                     ;Brand          ;Filename picture                                  ;SaQ;A;
000000000788767;STR1305                  ;STR1305                  ;0022255480789;STR 1300 Section 5            ;                                        ;2;63.22;114.95;114.95;001;N;.                             ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000788766;STR1304                  ;STR1304                  ;0022255480772;STR 1300 Section 4            ;                                        ;2;47.82;86.95;86.95;001;N;Generic Pole kits             ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000788762;STR1157B                 ;STR1157B                 ;0022255480857;STR 1150 Section 7B           ;                                        ;2;55.52;100.95;100.95;001;N;.                             ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000788759;STR1154                  ;STR1154                  ;0022255480826;STR 1150 Section 4            ;                                        ;2;47.82;86.95;86.95;001;N;.                             ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000839291;STR1                     ;STR1                     ;0022255480741;STR 1300 / 1150 Section 1     ;                                        ;2;23.62;42.95;42.95;001;N;.                             ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001790972;STLSW8000PGD             ;STLSW8000PGD             ;0022255291798;Stella SW D                   ;8000 PG                                 ;2;769.97;1099.95;1099.95;001;Y;.                             ;Shimano        ;202051009_SKU_STLSW8000PGD.jpg                    ;001;Y;
000000001790970;STLSW8000HGD             ;STLSW8000HGD             ;0022255291804;Stella SW D                   ;8000 HG                                 ;2;769.97;1099.95;1099.95;001;Y;.                             ;Shimano        ;20251009_SKU_STLSW8000HGD.jpg                     ;001;Y;
000000001654000;STLSW6000XGC             ;STLSW6000XGC             ;0022255232869;Stella SW 6000XG C            ;                                        ;2;671.97;959.95;959.95;001;N;Front drag reels              ;Shimano        ;20200526_STELLA_SW6000XG.jpg                      ;001;N;
000000001653999;STLSW6000PGC             ;STLSW6000PGC             ;0022255232845;Stella SW 6000PG C            ;                                        ;2;671.97;959.95;959.95;001;N;Front drag reels              ;Shimano        ;20200526_STELLA_SW6000PG.jpg                      ;001;N;
000000001653998;STLSW6000HGC             ;STLSW6000HGC             ;0022255232852;Stella SW 6000HG C            ;                                        ;2;671.97;959.95;959.95;001;N;Front drag reels              ;Shimano        ;20200526_STELLA_SW6000HG.jpg                      ;001;N;
000000001653997;STLSW5000XGC             ;STLSW5000XGC             ;0022255232838;Stella SW 5000XG C            ;                                        ;2;657.97;939.95;939.95;001;N;Front drag reels              ;Shimano        ;20200526_STELLA_SW5000XG.jpg                      ;001;N;
000000001653996;STLSW5000HGC             ;STLSW5000HGC             ;0022255232821;Stella SW 5000HG C            ;                                        ;2;657.97;939.95;939.95;001;N;Front drag reels              ;Shimano        ;20200526_STELLA_SW5000HG.jpg                      ;001;N;
000000001794058;STLSW4000XGD             ;STLSW4000XGD             ;0022255291736;Stella SW D                   ;4000 XG                                 ;2;664.97;949.95;949.95;001;N;.                             ;Shimano        ;20251229_SKU_STLSW4000XGD.jpg                     ;001;Y;
000000001653995;STLSW4000XGC             ;STLSW4000XGC             ;0022255232814;Stella SW 4000XG C            ;                                        ;2;626.47;894.95;894.95;001;N;Front drag reels              ;Shimano        ;20200526_STELLA_SW4000XG.jpg                      ;001;N;
000000001653994;STLSW4000HGC             ;STLSW4000HGC             ;0022255232807;Stella SW 4000HG C            ;                                        ;2;626.47;894.95;894.95;001;N;Front drag reels              ;Shimano        ;20200526_STELLA_SW4000HG.jpg                      ;001;N;
000000001653993;STLSW30000C              ;STLSW30000C              ;0022255232890;Stella SW 30000 C             ;                                        ;2;902.97;1289.95;1289.95;001;N;Front drag reels              ;Shimano        ;20200526_STELLA_SW30000.jpg                       ;001;Y;
